features,n_features,rms
$\log M_\star$ + SFR + $D_n4000$ + Age + $c$,5,0.13170172682656117
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $z$ + $x_1$,6,0.13170381599203368
$\log M_\star$ + Age + $x_1$ + $c$,4,0.13170463390708279
$\log M_\star$ + SFR + $\sigma_v$ + $g - r$ + $z$ + $x_1$,6,0.131713366554646
SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + $z$ + $x_1$,6,0.13173917593222245
SFR + $D_n4000$ + $x_1$ + $c$,4,0.13179026724940507
$\log M_\star$ + SFR + $g - r$ + Age + $c$,5,0.1317993271157941
$g - r$ + $x_1$ + $c$,3,0.13181387955494922
$\sigma_v$ + $D_n4000$ + $g - r$ + Age + $z$ + $x_1$,6,0.13188593612906996
$\log M_\star$ + SFR + $g - r$ + $z$ + $x_1$,5,0.13191774572025794
$\log M_\star$ + SFR + $g - r$ + $c$,4,0.1319623871274729
SFR + $D_n4000$ + $g - r$ + $z$ + $x_1$,5,0.13200012403972744
SFR + $D_n4000$ + $g - r$ + Age + $z$ + $x_1$,6,0.13201691321472855
$\log M_\star$ + SFR + Age + $z$ + $x_1$,5,0.13204736874253845
SFR + $\sigma_v$ + $D_n4000$ + Age + $z$ + $x_1$,6,0.13204994568194273
SFR + $D_n4000$ + $g - r$ + Age + $c$,5,0.13205579801004383
$\log M_\star$ + Age + $z$ + $c$,4,0.13208160699028196
$D_n4000$ + Age + $z$ + $c$,4,0.13208456101744126
$\sigma_v$ + Age + $z$ + $c$,4,0.13210592690449902
$g - r$ + $z$ + $c$,3,0.13214453749781155
SFR + $\sigma_v$ + $g - r$ + Age + $z$ + $x_1$,6,0.13216431544593152
$\log M_\star$ + $\sigma_v$ + $g - r$ + $z$ + $x_1$,5,0.13221101696558296
$\log M_\star$ + $g - r$ + Age + $z$ + $x_1$,5,0.1322514385473598
$\log M_\star$ + SFR + $\sigma_v$ + Age + $z$ + $x_1$,6,0.13228420035747634
$\log M_\star$ + SFR + $D_n4000$ + $z$ + $x_1$,5,0.13228956409229856
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + Age + $z$ + $x_1$,6,0.132296120596159
$\log M_\star$ + $\sigma_v$ + $x_1$ + $c$,4,0.13229991267427557
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $c$,4,0.1323544726000843
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $z$ + $x_1$,5,0.13236102167699781
$\log M_\star$ + $\sigma_v$ + $g - r$ + Age + $z$ + $x_1$,6,0.1324060386864902
$\log M_\star$ + SFR + $D_n4000$ + $c$,4,0.13254768635400516
$z$ + $x_1$ + $c$,3,0.13257432027625365
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $z$,7,0.13259641248874104
$\log M_\star$ + $g - r$ + $z$ + $x_1$,4,0.13262783620877797
$D_n4000$ + $g - r$ + Age + $z$ + $x_1$,5,0.1326503117950121
SFR + $\sigma_v$ + $g - r$ + $c$,4,0.13271904000341708
SFR + $D_n4000$ + $z$ + $c$,4,0.1327393063770045
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $x_1$,7,0.1327397706393613
$\log M_\star$ + $D_n4000$ + Age + $z$ + $x_1$,5,0.1327692117996951
SFR + $\sigma_v$ + $z$ + $c$,4,0.13277293428761194
SFR + $g - r$ + Age + $z$ + $x_1$,5,0.13277742530605705
$\log M_\star$ + SFR + $x_1$ + $c$,4,0.13295015783293568
$\log M_\star$ + SFR + $\sigma_v$ + Age + $c$,5,0.13300876469981435
SFR + $\sigma_v$ + $D_n4000$ + $z$ + $x_1$,5,0.13302335499914275
$\log M_\star$ + $\sigma_v$ + Age + $z$ + $x_1$,5,0.13304980003331926
$\log M_\star$ + $D_n4000$ + Age + $c$,4,0.13306457891887408
$\sigma_v$ + $g - r$ + Age + $z$ + $x_1$,5,0.13307967508773924
$\sigma_v$ + $g - r$ + Age + $c$,4,0.13308918256620939
SFR + Age + $x_1$ + $c$,4,0.13313044018193051
$\log M_\star$ + $D_n4000$ + $z$ + $x_1$,4,0.13316347419773644
$\log M_\star$ + $z$ + $c$,3,0.13317557986329598
$\sigma_v$ + $D_n4000$ + $g - r$ + $z$ + $x_1$,5,0.1331879620446068
$D_n4000$ + $g - r$ + Age + $c$,4,0.13336182748658382
$\sigma_v$ + $D_n4000$ + Age + $c$,4,0.1333891756449932
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $x_1$,6,0.13339189042668803
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + Age + $x_1$,6,0.13339200282740493
SFR + $D_n4000$ + $g - r$ + $c$,4,0.13340061355707913
$\log M_\star$ + Age + $z$ + $x_1$,4,0.1334335185038779
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + $z$,6,0.13344619768481605
$\log M_\star$ + $g - r$ + Age + $c$,4,0.1335050843798383
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + $x_1$,6,0.13351312557234313
SFR + $D_n4000$ + Age + $z$ + $x_1$,5,0.1335952269182791
$D_n4000$ + $g - r$ + $z$ + $x_1$,4,0.13362220589265217
$\sigma_v$ + $D_n4000$ + Age + $z$ + $x_1$,5,0.13362740997978848
SFR + $\sigma_v$ + $g - r$ + $z$ + $x_1$,5,0.1336753067120612
SFR + Age + $z$ + $c$,4,0.1336897440934835
$g - r$ + Age + $z$ + $x_1$,4,0.13371624584385133
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $z$,6,0.13372974845794028
$\log M_\star$ + SFR + $\sigma_v$ + $z$ + $x_1$,5,0.13376429670471535
SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $x_1$,6,0.13389426113387093
SFR + $\sigma_v$ + Age + $z$ + $x_1$,5,0.13389868462437235
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + Age + $z$,6,0.13398223272471554
$\log M_\star$ + $g - r$ + $c$,3,0.1340154676309852
$\log M_\star$ + $\sigma_v$ + Age + $c$,4,0.13405919761977486
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + Age + $x_1$,6,0.13408881772021808
$\log M_\star$ + SFR + $\sigma_v$ + $g - r$ + Age + $x_1$,6,0.13411574963852882
$\log M_\star$ + SFR + $\sigma_v$ + $g - r$ + Age + $z$,6,0.13413888037607982
SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $z$,6,0.13417603858128113
SFR + $\sigma_v$ + $D_n4000$ + $c$,4,0.13418853112100884
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + $z$,5,0.13419774514150323
SFR + $g - r$ + Age + $c$,4,0.13424392667045712
SFR + $g - r$ + $z$ + $x_1$,4,0.13425156176622807
$\log M_\star$ + $D_n4000$ + $g - r$ + Age + $x_1$,5,0.13426348762875537
$\log M_\star$ + SFR + $z$ + $x_1$,4,0.13431656793009225
$\sigma_v$ + $g - r$ + $c$,3,0.1343645604543136
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + $x_1$,5,0.13440671952206548
$\log M_\star$ + $D_n4000$ + $g - r$ + Age + $z$,5,0.13443911013841378
$\log M_\star$ + SFR + $\sigma_v$ + $c$,4,0.13444350031270552
$D_n4000$ + Age + $z$ + $x_1$,4,0.1344493585084735
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $x_1$,5,0.13447279064944395
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $g - r$ + $z$,5,0.13447569834844542
$\log M_\star$ + SFR + $\sigma_v$ + $g - r$ + $z$,5,0.13450367076944858
Age + $x_1$ + $c$,3,0.13462408509128704
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + Age + $z$,6,0.13465393506175832
SFR + $\sigma_v$ + $x_1$ + $c$,4,0.1346940242754466
$\log M_\star$ + $D_n4000$ + $c$,3,0.1347040396945674
$D_n4000$ + $x_1$ + $c$,3,0.13470731468655675
$\log M_\star$ + SFR + $g - r$ + Age + $x_1$,5,0.13474139938726365
$\log M_\star$ + SFR + $D_n4000$ + Age + $x_1$,5,0.13474298134142665
SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + $z$,5,0.13477212012459597
$\log M_\star$ + SFR + $g - r$ + Age + $z$,5,0.13491444964534052
$\sigma_v$ + $g - r$ + $z$ + $x_1$,4,0.13495049791849362
$D_n4000$ + $g - r$ + $c$,3,0.13498022181899613
$\log M_\star$ + $x_1$ + $c$,3,0.13498429458378727
SFR + $D_n4000$ + $g - r$ + Age + $z$,5,0.13501021925233048
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $g - r$ + $x_1$,5,0.13503133533706285
$\sigma_v$ + Age + $z$ + $x_1$,4,0.13509997076974523
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + Age + $x_1$,5,0.13512137689279274
$D_n4000$ + $z$ + $c$,3,0.1351988341745214
$\sigma_v$ + $D_n4000$ + $z$ + $x_1$,4,0.1352262665827183
