ZTF_Unnamed: 0,ztfname,ZTF_redshift,ZTF_redshift_err,ZTF_source,ZTF_t0,ZTF_x0,ZTF_x1,ZTF_c,ZTF_t0_err,ZTF_x0_err,ZTF_x1_err,ZTF_c_err,ZTF_cov_t0_x0,ZTF_cov_t0_x1,ZTF_cov_t0_c,ZTF_cov_x0_x1,ZTF_cov_x0_c,ZTF_cov_x1_c,ZTF_mwebv,ZTF_mwr_v,ZTF_mwebv_err,ZTF_fitprob,ZTF_ra,ZTF_dec,ZTF_sn_type,ZTF_sub_type,ZTF_lccoverage_flag,ZTF_fitquality_flag,ZTF_iau_name,ZTF_frac_fitted,ZTF_ra_host_global,ZTF_dec_host_global,ZTF_mass_global,ZTF_mass_err_global,ZTF_restframe_gz_global,ZTF_restframe_gz_err_global,ZTF_d_dlr_global,ZTF_mass_local,ZTF_mass_err_local,ZTF_restframe_gz_local,ZTF_restframe_gz_err_local,ZTF_DESI_METADATA_ang_sep_arcsec,DESI_METADATA_TARGETID,DESI_METADATA_LS_ID,DESI_METADATA_SPECTYPE,DESI_METADATA_RA,DESI_METADATA_DEC,DESI_METADATA_DESI_TARGET,DESI_METADATA_Z,DESI_METADATA_ZWARN,DESI_METADATA_SURVEY
949,ZTF19aadaszg,0.02177129,1.077e-05,z_gal,58511.14190173663,0.007150435,-4.999995339,0.1227349990308346,1.017337958975986,0.003516767,5.123490083938865,0.3384189813610674,-0.000255133,9.776666408874484e-05,0.017700614,-4.04e-08,-0.001232453,-4.08e-06,0.044052725,3.1,0,0.9975951036668592,345.730058,8.402809,snia-cosmo,norm,0.0,0.0,2019rg,100.0,345.7304703738495,8.40268419229086,8.002,0.1127120224288429,0.68969653,0.0439089968,0.7618908617221225,7.846,0.072,0.57069653,0.053814496188,0.0,39627995253573933,9906624706709805,b'GALAXY',345.7304703738495,8.40268419229086,5764607523034234880,0.021771654864966305,0,b'main'
950,ZTF19aaddzpk,0.05369276,1.043e-05,z_gal,58504.895578871234,0.001134861,-1.938725846,-0.125637262,0.3029215253845905,5.365698389303596e-05,0.3197707157611619,0.077440976,9.291883854196624e-07,0.050944732,-0.002476866,-2.61e-06,-2.36e-06,-0.006374648,0.039233181,3.1,0,0.1300673949449551,174.704728,-3.816068,snia-cosmo,norm,0.0,1.0,2019qr,100.0,174.70475362793627,-3.816580626558316,10.466,0.1104943437466371,1.15169653,0.018439088915,0.5371811974483954,9.664,0.025,1.15669653,0.017691806013,2.862499213317165e-12,39627697080505466,9906620047758458,b'GALAXY',174.70475362793627,-3.8165806265583155,5764607523034234880,0.05369333494644328,0,b'main'
956,ZTF19aadnxgj,0.03417008,1.031e-05,z_gal,58506.98026774936,0.001664809,-0.742495289,0.2368485565173199,0.6152317907435645,7.424415459185397e-05,0.2402347007620289,0.043866593,5.126942799332272e-06,-0.093032664,-0.003388755,-3.21e-06,-2.57e-06,-0.000898732,0.040910747,3.1,0,0.6760210253849517,233.515125,2.211116,snia-cosmo,norm,0.0,1.0,2019vv,100.0,233.5160578349199,2.2104958910453427,10.097,0.105304320899002,1.09469653,0.019849433241,0.6648576241449914,9.204,0.02,0.96169653,0.021400934559,0.0,39627843004531117,9906622327816621,b'GALAXY',233.5160578349199,2.2104958910453427,5764607523034234880,0.034170623731676605,0,b'main'
965,ZTF19aadyioa,0.05341924,1.113e-05,z_gal,58516.72247735832,0.001604306,-0.267180021,-0.021057034,0.163242174,7.773751102276591e-05,0.1992686830182296,0.036572939,4.159434840586263e-06,-0.015391812,-0.001613063,-1.03e-05,-2.43e-06,0.002865713,0.026365357,3.1,0,0.496236757,236.784016,33.214165,snia,,1.0,1.0,2019abl,100.0,236.7825174938013,33.21428490958915,9.184,0.1026109155986827,0.54469653,0.02941088234,1.7108164271405617,8.04,0.111,0.46269653,0.105,2.5680662681555507e-10,39632946562335794,9907732863058994,b'GALAXY',236.78251749380138,33.21428490958915,5764607523034234880,0.053421769348276665,0,b'main'
971,ZTF19aaekvhn,0.06157618,1.139e-05,z_gal,58519.84059197371,0.000989747,-0.731813255,-0.071072762,0.1360557679399789,3.690216586528321e-05,0.1669358184336147,0.033838727,-4.97e-07,0.010153829,-9.73e-05,-2.1e-06,-1.05e-06,0.000742732,0.014265422,3.1,0,0.4180540486729798,136.845674,75.781101,snia,,1.0,1.0,2019bac,100.0,136.84371819617218,75.78090547546833,8.928,0.1136485811614029,0.36469653,0.028653097564,1.0667665435174467,8.55,0.032,0.43669653,0.042190046219,0.0,39633530732413321,9907741990715785,b'GALAXY',136.84371819617218,75.78090547546833,1152921504606846976,0.061575705223836964,0,b'main'
972,ZTF19aaeopqn,0.03804996,2.615e-05,z_gal,58513.96432720363,0.000392562,-3.108427411,0.3338447846028528,0.1742524239562044,1.6818584946260904e-05,0.2593973250374213,0.040051878,3.08965887752819e-07,-0.013191111,0.000147445,-1.31e-06,-5.55e-07,0.000711006,0.012591755,3.1,0,4.958291248611787e-20,199.74858,32.974644,snia-pec,91bg,1.0,0.0,2019abk,100.0,199.7479540533783,32.97395711665693,9.673,0.1096585609973065,1.26469653,0.022627416998,0.7197176474961241,8.899,0.099,1.21769653,0.100623058987,0.0,39632940975523287,9907732775765463,b'GALAXY',199.7479540533783,32.97395711665693,5764607523034234880,0.03805369799797724,0,b'main'
973,ZTF19aaeoqkk,0.06930955,1.161e-05,z_gal,58517.94746162012,0.000880011,0.1166146618972779,0.007958587,0.1385579804555163,2.896153343272576e-05,0.1114379011445279,0.029199907,-1.63e-07,-0.003923609,2.93914172174439e-05,-7e-07,-6.94e-07,-0.000228192,0.014301652,3.1,0,0.2780085463690916,224.046105,33.468202,snia-cosmo,norm,1.0,1.0,2019abg,100.0,224.0462054220565,33.4683200753901,8.984,0.1113597772986279,0.72369653,0.031764760349,0.2664898033808875,8.633,0.044,0.68769653,0.035355339059,0.0,39632951436117155,9907732939211939,b'GALAXY',224.0462054220565,33.4683200753901,5764607523034234880,0.06930963968192122,0,b'main'
974,ZTF19aaeoqst,0.05957972,1.376e-05,z_gal,58525.0,0.00071143,5.0,0.2877349624305781,0.010358783,2.4551589395863e-05,0.008290816,0.032526437,-2.18e-18,-7.92e-25,1.6275791835793022e-14,-4.76e-18,-6.68e-07,3.538731964433525e-14,0.052892253,3.1,0,5.524223690461773e-205,245.683295,24.01937,snia-pec,csm,0.0,0.0,2019agi,70.0,245.68360186029065,24.02040149591295,9.53,0.1044030650891055,0.96069653,0.027802877549,0.7831632700770149,8.634,0.074,0.94769653,0.132740348048,0.0,39628352406948628,9906630287231764,b'GALAXY',245.68360186029065,24.02040149591295,5764607523034234880,0.059580461470537784,0,b'main'
975,ZTF19aaephty,0.03867202,1.556e-05,z_gal,58514.22713586619,0.001940162,-4.999999978,-0.388103745,0.6841330948191171,0.000452237,8.076066512403795,1.3076973990995957,0.000163524,3.2126142858028725e-06,-0.172842157,4.814894947560095e-10,-0.000471983,-6.37e-08,0.032740246,3.1,0,0.0,9.81592,6.688421,snia-cosmo,norm,0.0,0.0,2019aex,100.0,9.815442425956682,6.688478136650257,10.75,0.1156027681329474,1.50169653,0.018384776311,0.1949738763233092,10.335,0.077,1.46069653,0.019104973175,0.0,2842686696456193,9906623963922634,b'GALAXY',9.815442425956682,6.688478136650257,4611686018427387904,0.038612568499336794,0,b'main'
979,ZTF19aafmfxg,0.04798486,1.759e-05,z_gal,58528.40208553392,0.002914364,0.6673315994101141,-0.013871849,0.257196239,0.000111534,0.2580554981434507,0.039731547,9.92029542944598e-06,-0.019979046,-0.003142742,-1.19e-05,-2.78e-06,-0.002146218,0.024991857,3.1,0,2.6536807103618413e-05,162.952676,8.841018,snia-cosmo,91t,1.0,1.0,2019ahr,100.0,162.95225942249868,8.840944685733994,9.188,0.1030776406404415,0.75669653,0.029732137495,0.4003153501590762,8.452,0.034,0.75169653,0.152433592098,0.0,39627998193781412,9906624752650916,b'GALAXY',162.95225942249868,8.840944685733994,5764607523034234880,0.04798852907470084,0,b'main'
980,ZTF19aafmhcl,0.06935096,1.143e-05,z_gal,58526.812547117406,0.001394794,0.7712104227598069,-0.105890592,0.4464332768620807,9.25985815035858e-05,0.3699198279374668,0.0577852,-4.65e-06,-0.109142662,0.010164607,-1.25e-05,-4.93e-06,0.002070969,0.028107812,3.1,0,0.9995982428124204,132.335991,11.198915,snia-cosmo,91t,1.0,1.0,2019ano,100.0,132.33532615060196,11.197969792422228,9.215,0.1062826420446913,0.66669653,0.035341194094,1.7314236483826548,7.991,0.071,0.73369653,0.137786066059,0.0,39628057228610959,9906625675070863,b'GALAXY',132.33532615060196,11.197969792422228,5764607523034234880,0.0693520069354792,0,b'main'
982,ZTF19aafmwfc,0.08061758,1.266e-05,z_gal,58519.823417207685,0.000377588,0.8560623580433603,0.1629663199378608,0.6099111918883864,4.951813897143161e-05,0.6920883573947465,0.095996259,1.8992546835846147e-05,-0.116909285,-0.036920882,-2.39e-05,-4.4e-06,0.032885813,0.021135474,3.1,0,0.008830914,193.350795,0.460749,snia,,0.0,1.0,2019agl,100.0,193.3509001426554,0.4611542580054641,9.913,0.1046947945219818,0.94169653,0.020615528128,0.7427545141964235,9.24,0.037,0.93769653,0.028284271247,0.0,39627800050665731,9906621656664323,b'GALAXY',193.3509001426554,0.4611542580054641,5764607523034234880,0.08061772691984029,0,b'main'
