SNID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,RA,DEC,COORD_SOURCE
1249137,1249137,10,0,0.22397,0.001,0.22305,0.001,0.22305,0.00158,0.0,300.0,0.01,0.224,0.001,8.135143,-42.49321,0.595,0.62,9.72,0.01,0.75,-999.0,56531.8125,0.223,0.0983,0.1734,0.0974,0.0188,21.2744,0.0255,20.9138,5.5492e-05,1.3051e-06,0.001,-0.0,-0.0,39,0.8541,0.9855,0.983,1.0,0.9997,1.0,40.237,0.1897,0.0,0.0539,1.0,0.0315,8.135224,-42.493057,DES
1249178,1249178,10,0,0.76649,0.001,0.76517,0.001,0.76517,0.00203,0.0,300.0,0.01,0.7665,0.001,6.957375999999999,-43.081135,0.654,0.72,10.81,0.04,1.06,-999.0,56540.418,1.404,0.0411,0.9148,-0.0905,0.0794,23.7669,0.0695,24.1487,5.588e-06,3.5781e-07,0.0125,-0.0,0.0,43,0.0684,0.9812,0.9646,0.9997,0.9949,0.999,43.4719,0.1542,0.0,-0.0744,0.237,0.0,6.957144,-43.08107,DES
1249182,1249182,10,0,0.56135,0.001,0.56017,0.001,0.56017,0.00185,0.0,300.0,0.01,0.5613,0.001,6.8200970000000005,-42.573879,0.259,0.18,11.15,0.03,1.28,-999.0,56551.8867,0.7783,1.696,0.7258,0.1316,0.073,22.8325,0.0665,22.8382,1.3212e-05,8.0904e-07,0.0125,-0.0,-0.0,41,0.7836,0.997,0.5519,1.0,0.999,0.999,42.1614,0.1998,0.0001,-0.1244,0.676,0.0,6.82,-42.573868,DES
1249209,1249209,10,0,0.48424,0.001,0.48312,0.001,0.48312,0.00179,0.0,300.0,0.01,0.4842,0.001,6.96295,-42.385223,0.096,0.14,10.21,0.05,1.25,-999.0,56544.7812,0.6172,0.6302,0.6515,0.0109,0.0499,23.0061,0.0543,23.1416,1.1261e-05,5.6294e-07,0.0058,-0.0,-0.0,38,0.6612,0.9999,0.9828,1.0,0.9999,1.0,42.4648,0.1662,0.0,-0.0492,0.846,0.0,6.962916,-42.385231,DES
1249245,1249245,10,0,0.36932,0.001,0.36834,0.001,0.36834,0.0017,0.0,300.0,0.01,0.3693,0.001,8.422099000000001,-44.602264,2.348,0.46,11.17,0.01,0.82,-999.0,56548.0664,0.3082,0.0168,0.3161,-0.0184,0.0204,21.8274,0.0327,21.9431,3.3347e-05,1.0035e-06,0.0017,-0.0,-0.0,42,0.0728,0.6447,0.9875,0.0069,0.9772,0.3729,41.2663,0.1298,0.0247,-0.0369,1.0,0.0073,8.421629,-44.601704,DES
1249264,1249264,10,0,0.55081,0.001,0.54968,0.001,0.54968,0.00185,0.0,300.0,0.01,0.5508,0.001,8.18374,-43.873055,0.292,0.35,10.47,0.04,1.31,-999.0,56549.5664,0.441,-0.6294,0.4137,-0.1832,0.05,23.0712,0.0466,23.3521,1.0606e-05,4.5555e-07,0.003,-0.0,-0.0,83,0.6156,0.9995,0.744,1.0,0.9995,1.0,42.6753,0.1317,0.0,0.2078,0.59,0.0,8.183639,-43.873089,DES
1249304,1249304,10,0,0.63802,0.001,0.6368,0.001,0.63681,0.00192,0.0,300.0,0.03,0.638,0.001,40.629742,-1.441108,1.543,1.4,10.63,0.04,1.51,-999.0,56540.375,1.6742,1.4867,0.8963,-0.0323,0.0475,23.1372,0.0433,23.4661,9.98e-06,3.9767e-07,0.0033,-0.0,-0.0,38,0.4062,0.993,0.985,0.9972,0.9989,0.9998,42.7893,0.1302,0.0,0.0297,0.343,0.0,40.629578,-1.440712,DES
1249308,1249308,10,0,0.22896,2e-05,0.22806,2e-05,0.22806,0.00123,0.0,300.0,0.03,0.0,0.0,40.863556,-1.602378,2.532,1.15,11.28,0.03,1.19,-999.0,56541.332,0.2857,0.2644,0.2552,0.1737,0.0182,21.5855,0.0233,21.1618,4.1669e-05,8.938e-07,0.0012,-0.0,-0.0,38,0.8917,0.0001,0.7776,0.9953,0.3601,0.9666,40.485,0.1855,0.0008,-0.0566,1.0,0.0288,40.863659,-1.601682,DES
1249371,1249371,10,0,0.45191,0.001,0.45085,0.001,0.45085,0.00176,0.0,300.0,0.02,0.4519,0.001,41.362904,-0.253585,0.151,0.15,10.68,0.03,0.87,-999.0,56543.0391,0.8488,-0.2244,0.7808,0.0844,0.0851,23.0279,0.0629,22.95,1.1036e-05,6.3944e-07,0.0036,-0.0,-0.0,22,0.8832,0.9982,0.814,0.9978,0.9983,0.9997,42.2732,0.2722,0.0,-0.2025,0.974,0.0,41.362919,-0.253625,DES
1249395,1249395,10,0,0.55626,0.001,0.55513,0.001,0.55513,0.00185,0.0,300.0,0.03,0.5563,0.001,41.47578,-1.550256,0.758,0.75,10.54,0.03,1.15,-999.0,56539.2695,1.6992,0.7886,0.8431,-0.109,0.0482,22.8999,0.0386,23.2223,1.2418e-05,4.4152e-07,-0.0012,-0.0,-0.0,37,0.5753,0.9932,0.7242,0.9606,0.9999,1.0,42.5455,0.1541,0.0,0.1631,0.502,0.0,41.475582,-1.550186,DES
1249416,1249416,10,0,0.33267,0.001,0.33169,0.001,0.33169,0.00167,0.0,300.0,0.03,0.3327,0.001,40.912395,-1.748804,0.415,0.43,10.51,0.01,1.07,-999.0,56540.8086,0.994,1.3213,0.7739,-0.1364,0.0312,22.752,0.0444,23.2989,1.423e-05,5.817e-07,0.0045,-0.0,-0.0,36,0.0015,0.0013,0.3588,0.0,0.0,0.0,42.6221,192.592,1.0,0.1097,1.0,0.0054,40.912281,-1.748792,DES
1249483,1249483,10,0,0.28398,0.001,0.28303,0.001,0.28303,0.00163,0.0,300.0,0.03,0.284,0.001,40.632172,-0.8426620000000001,0.197,0.12,10.96,0.07,1.23,-999.0,56540.8594,0.3104,0.0052,0.247,-0.0555,0.0159,21.1214,0.0188,21.3299,6.389e-05,1.1055e-06,0.0008,-0.0,-0.0,42,0.1834,0.9756,0.9738,1.0,0.9999,1.0,40.6531,0.1093,0.0,-0.0157,1.0,0.0065,40.632134,-0.842623,DES
1249758,1249758,10,0,0.62198,0.001,0.62139,0.001,0.62139,0.00191,0.0,300.0,0.01,0.622,0.001,54.792233,-26.719913,0.226,0.31,9.83,0.01,-0.19,-999.0,56556.6992,0.7837,2.5902,0.7562,0.0087,0.0516,23.3594,0.0613,23.6123,8.1327e-06,4.5886e-07,0.0119,-0.0,-0.0,47,0.2101,0.0001,0.6501,0.0,0.0012,0.0,42.9355,161.7507,1.0,0.1179,0.662,0.0,54.792175,-26.719948,DES
1249851,1249851,10,1,0.21552,0.001,0.21511,0.001,0.21511,0.00157,0.0,300.0,0.01,0.2155,0.001,55.218509999999995,-29.400743,3.122,1.72,11.06,0.09,1.52,-999.0,56550.8555,0.2127,-1.2534,0.157,-0.1271,0.0196,20.6844,0.0259,20.8674,9.555e-05,2.2836e-06,0.0009,-0.0,-0.0,41,0.0505,0.9912,0.9197,1.0,1.0,1.0,40.1906,0.0925,0.0,0.0306,1.0,0.0038,55.218029,-29.399984,DES
1249956,1249956,10,0,0.44737,0.001,0.44628,0.001,0.44628,0.00176,0.0,300.0,0.0,0.4474,0.001,6.984831,-42.443741,0.081,0.09,10.9,0.04,1.41,-999.0,56548.8555,0.7354,-0.5066,0.795,0.1133,0.0771,23.2341,0.088,23.0326,9.1277e-06,7.4e-07,0.0146,-0.0,-0.0,38,0.2083,0.9969,0.8225,0.9996,0.9995,1.0,42.3558,0.2478,0.0,-0.2144,1.0,0.0076,6.984844,-42.44376,DES
1249970,1249970,10,0,0.26866,0.001,0.26775,0.001,0.26775,0.00162,0.0,300.0,0.01,0.2687,0.001,10.491352,-43.734089,0.376,0.5,8.91,0.04,0.32,-999.0,56553.8906,0.2289,-0.5898,0.2436,0.0206,0.0256,21.7198,0.0366,21.5782,3.6821e-05,1.2427e-06,0.0021,-0.0,-0.0,44,0.6388,0.9998,0.995,0.9999,0.9998,1.0,40.9014,0.1593,0.0,-0.0364,1.0,0.0181,10.491207,-43.734085,DES
1250017,1250017,10,1,0.18299,0.001,0.18216,0.001,0.18216,0.00155,0.0,300.0,0.05,0.183,0.001,43.193951,-0.127654,0.998,1.01,8.85,0.02,0.47,-999.0,56553.8789,0.1613,1.0693,0.1791,-0.1104,0.0165,20.0444,0.0253,20.5162,0.00017228,4.0208e-06,0.0007,-0.0,-0.0,42,0.5454,0.9999,0.9316,1.0,1.0,1.0,39.8394,0.0937,0.0,0.0258,1.0,0.004,43.193733,-0.127481,DES
1250034,1250034,10,0,0.16167,0.001,0.16085,0.001,0.16085,0.00153,0.0,300.0,0.05,0.1617,0.001,43.029522,-0.414962,1.162,0.66,10.49,0.01,0.98,-999.0,56556.4531,0.1608,-0.403,0.1494,0.0086,0.0183,20.1196,0.0279,20.1068,0.00016075,4.1246e-06,0.0009,-0.0,-0.0,39,0.4938,0.994,0.9843,1.0,1.0,1.0,39.43,0.1073,0.0,-0.0598,1.0,0.0073,43.029656,-0.415255,DES
1250120,1250120,10,0,0.69207,0.001,0.69088,0.001,0.69088,0.00197,0.0,300.0,0.05,0.6921,0.001,42.918289,-0.236999,0.201,0.34,10.37,0.02,1.4,-999.0,56549.9141,1.0406,0.07,0.8351,-0.0087,0.0659,23.4601,0.066,23.7826,7.4122e-06,4.5042e-07,0.0172,-0.0,-0.0,47,0.8597,0.9682,0.98,0.9995,0.9996,0.9985,43.1058,0.1208,0.0,-0.2652,0.254,0.0,42.918236,-0.236987,DES
1250275,1250275,10,0,0.38423,0.001,0.38323,0.001,0.38323,0.00171,0.0,300.0,0.03,0.3842,0.001,41.6134,-1.613912,0.41,0.52,10.31,0.02,1.42,-999.0,56556.1953,0.3614,0.0085,0.3634,0.1123,0.0422,22.2396,0.0541,22.0481,2.2813e-05,1.1378e-06,0.0052,-0.0,-0.0,37,0.6863,0.9976,0.9625,1.0,0.9998,1.0,41.3713,0.1726,0.0,-0.1383,1.0,0.0158,41.613308,-1.613983,DES
1250279,1250279,10,0,0.27476,0.001,0.27382,0.001,0.27382,0.00162,0.0,300.0,0.03,0.2748,0.001,41.089642,-1.466044,3.516,2.35,10.75,0.05,1.19,-999.0,56537.793,0.473,-0.0391,0.2199,-0.0529,0.0173,20.9375,0.0202,21.1333,7.5684e-05,1.4082e-06,0.0006,-0.0,-0.0,32,0.113,0.9812,0.9807,0.9996,0.9999,1.0,40.4565,0.1066,0.0,-0.0185,1.0,0.0062,41.090176,-1.465227,DES
1250357,1250357,10,0,0.35941,0.001,0.35843,0.001,0.35843,0.00169,0.0,300.0,0.03,0.3594,0.001,41.880802,-0.616166,1.78,1.48,10.72,0.06,1.22,-999.0,56552.8164,0.2891,-0.9141,0.3086,-0.029,0.0266,22.1955,0.0385,22.2135,2.3757e-05,8.4271e-07,0.0029,-0.0,-0.0,50,0.8705,0.9886,1.0,0.9971,0.9999,1.0,41.5367,0.1243,0.0,-0.0557,1.0,0.006,41.880974,-0.61663,DES
1250397,1250397,10,0,0.64442,0.001,0.64305,0.001,0.64304,0.00192,0.0,300.0,0.02,0.6444,0.001,33.929947,-5.449883,1.042,1.14,10.19,0.01,0.52,-999.0,56551.0273,0.7418,-0.2227,0.59,-0.0115,0.0599,23.2967,0.0586,23.5283,8.6162e-06,4.6532e-07,0.0041,-0.0,-0.0,37,0.0845,0.9988,1.0,1.0,0.9997,0.9993,42.8515,0.1266,0.0,-0.2127,0.329,0.0,33.92968,-5.449767,DES
1250435,1250435,10,0,0.49418,0.001,0.49292,0.001,0.49292,0.0018,0.0,300.0,0.02,0.4942,0.001,33.790543,-4.626537,0.94,1.33,9.96,0.02,0.98,-999.0,56554.3672,0.4319,-0.6077,0.4397,-0.0039,0.0473,22.7602,0.0523,22.7954,1.4123e-05,6.7973e-07,0.0029,-0.0,-0.0,40,0.1587,0.9932,0.9833,0.9999,0.9997,0.9999,42.1186,0.1564,0.0,-0.1396,0.975,0.0,33.790329,-4.626687,DES
1250454,1250454,10,0,0.7888,0.001,0.78734,0.001,0.78734,0.00205,0.0,300.0,0.02,0.7888,0.001,35.299831,-4.535553,0.167,0.23,10.55,0.04,1.08,-999.0,56551.918,1.1267,0.5883,0.9153,-0.1385,0.0722,23.6963,0.0792,24.2587,5.9634e-06,4.3523e-07,0.0026,-0.0,0.0,43,0.6416,0.9915,0.9617,0.9999,0.9972,0.9996,43.5819,0.1349,0.0,-0.0173,0.175,0.0,35.299789,-4.53557,DES
1250532,1250532,10,0,0.52893,0.001,0.5277,0.001,0.5277,0.00183,0.0,300.0,0.02,0.5289,0.001,35.564728,-6.959774,0.154,0.15,9.45,0.02,0.28,-999.0,56548.3672,0.8948,1.1225,0.6802,-0.0449,0.0571,23.0901,0.0591,23.3438,1.0422e-05,5.6692e-07,0.0075,-0.0,-0.0,38,0.9151,0.9982,0.9013,0.9996,0.9997,0.9999,42.667,0.1823,0.0,0.0482,0.834,0.0,35.564694,-6.959802,DES
