CID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,blast_transient_spectroscopic_class,blast_transient_photometric_class,blast_host_name,blast_host_ra_deg,blast_host_dec_deg,blast_host_redshift,blast_host_EBV_MW,blast_local_log_mass_50,blast_local_log_sfr_50,blast_local_log_ssfr_50,blast_local_log_age_50,blast_local_mass_surviving_ratio,blast_global_log_mass_50,blast_global_log_sfr_50,blast_global_log_ssfr_50,blast_global_log_age_50,blast_global_mass_surviving_ratio
ASASSN-15pm,37.0,150.0,1.0,0.04879,0.00015,0.04777,0.00015,0.04837,0.00089,-170.03,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.67,0.24,1.12,-999.0,57277.9219,0.3431,0.5897,0.1761,-0.0902,0.0204,16.9656,0.0271,17.3854,0.002936,7.329e-05,0.0004,-0.0,-0.0,25.0,0.4469,-9.0,-9.0,-9.0,-9.0,-9.0,36.7086,0.0825,0.0,-0.0251,0.903,0.0,SN Ia,,ASASSN-15pm,24.65306642,-4.68271079,0.048784,0.027584720253944397,8.172995847209073,-1.4052042305658867,-9.564986045745362,5.840825817644683,0.6118740301692095,10.739807102978151,0.5226757312527023,-10.205387226232599,7.402373869862212,0.5851838148434361
ASASSN-15pn,55.0,150.0,1.0,0.03836,0.0,0.038,0.0,0.03909,0.00087,-314.4,250.0,0.08,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.37,0.08,0.77,-999.0,57279.7891,0.2047,0.4969,0.1357,-0.0447,0.0206,16.8731,0.0304,17.1037,0.0031971,8.9427e-05,-0.0006,-0.0,-0.0,30.0,0.0845,-9.0,-9.0,-9.0,-9.0,-9.0,36.4269,0.1023,0.0,-0.0302,1.0,0.0026,SN Ia,,ASASSN-15pn,60.85926873,-5.49185186,0.03835748,0.08106398418545722,9.225261322966682,-0.3732421056227573,-9.586136571251718,6.222862111689323,0.6181325187102396,9.459075475435842,-0.27899571809422413,-9.739075169719506,6.298382028845586,0.5965190503617191
ASASSN-15pr,73.0,150.0,1.0,0.03309,0.00015,0.03189,0.00015,0.03264,0.00087,-217.89,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.72,0.15,0.81,-999.0,57283.4883,0.0392,-0.5048,0.2283,-0.0296,0.0277,16.6954,0.0482,16.7237,0.0037657,0.00016702,0.0003,-0.0,-0.0,14.0,0.189,-9.0,-9.0,-9.0,-9.0,-9.0,36.0469,0.1284,0.0,-0.0361,1.0,0.0037,SN Ia,,ASASSN-15pr,346.66510496,-12.57314153,0.033093,0.02940675675868988,9.210301367259895,-1.1065823707544409,-10.31022789139915,7.460422543865576,0.5867813249848453,10.066258122089398,-0.010632951749646747,-10.111862024710115,8.11279820858864,0.5819330746984234
ASASSN-15ss,126.0,150.0,1.0,0.03556,0.00012,0.03592,0.00012,0.03599,0.00087,-19.52,250.0,0.2,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.77,0.04,1.05,-999.0,57338.3594,0.6057,0.9709,0.2249,-0.0917,0.0283,16.3568,0.0578,16.8377,0.0051437,0.00027391,0.0003,0.0,-0.0,14.0,0.8361,-9.0,-9.0,-9.0,-9.0,-9.0,36.1609,0.095,0.0,-0.0202,0.986,0.0,SN Ia,,ASASSN-15ss,93.13937868,-14.25595034,,,8.604110893959895,-1.3221971873978529,-9.951779977645982,6.512470526370862,0.6036327766836516,9.452925210352983,-0.9475936516982001,-10.39039778680025,6.736219851067168,0.608498755210321
ASASSN-15tg,143.0,150.0,1.0,0.03561,6e-05,0.03445,6e-05,0.03529,0.00086,-241.33,250.0,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.07,0.14,1.31,-999.0,57362.0586,0.4277,1.2668,0.2177,-0.0605,0.0214,16.2297,0.0257,16.6752,0.0057826,0.00013697,0.0009,-0.0,-0.0,13.0,0.1593,-9.0,-9.0,-9.0,-9.0,-9.0,35.9985,0.0947,0.0,-0.0344,1.0,0.0008,SN Ia,,ASASSN-15tg,5.17335154,25.22793766,0.035615,0.02472683299332857,10.282828535576066,-0.6619895588873141,-10.922438877990196,11.306644346381482,0.5571068277487136,,,,,
ASASSN-16aj,92.0,150.0,1.0,0.03075,8e-05,0.03053,8e-05,0.02953,0.00086,289.93,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.65,0.08,1.55,-999.0,57402.1406,0.372,-1.816,0.1789,0.0072,0.0241,16.4345,0.033,16.2107,0.0047887,0.00014554,-0.0,0.0,-0.0,25.0,0.9042,-9.0,-9.0,-9.0,-9.0,-9.0,35.5339,0.1156,0.0,-0.0721,1.0,0.0039,SN Ia,,ASASSN-16aj,65.44840756,-15.75550272,0.030745,0.028170048519968988,9.450376614270397,-0.9259746048100197,-10.389154997243288,7.907100041759845,0.5756636017442438,10.99256263274959,-1.1635977177728472,-12.151210973024112,11.434782990610984,0.5666287970610191
ASASSN-16ay,127.0,150.0,1.0,0.02834,1e-05,0.02895,1e-05,0.02938,0.00086,-124.58,250.0,0.06,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.48,0.04,1.21,-999.0,57416.7578,0.4532,1.0355,0.1495,0.227,0.0199,16.7753,0.0306,16.3265,0.0034984,9.862e-05,-0.0002,0.0,-0.0,14.0,0.767,-9.0,-9.0,-9.0,-9.0,-9.0,35.6497,0.1632,0.0,-0.0735,1.0,0.0172,SN Ia,,ASASSN-16ay,108.0630334,7.24104607,0.028343,0.05923462077975273,9.025470115397122,-1.733915521560197,-10.778679042383763,7.7536362197491755,0.577734855715737,10.891456274012445,0.12017385548151015,-10.782768580340909,7.621834393023847,0.5756200814386387
ASASSN-16bc,144.0,150.0,1.0,0.03194,0.00015,0.03314,0.00015,0.03298,0.00087,45.27,250.0,0.05,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.49,0.12,1.18,-999.0,57430.1562,0.1668,1.0149,0.1779,-0.135,0.0208,15.921,0.0277,16.5164,0.0076842,0.00019591,0.0008,-0.0,-0.0,18.0,0.0618,-9.0,-9.0,-9.0,-9.0,-9.0,35.8396,0.0917,0.0,0.0074,0.943,0.0,SN Ia,,ASASSN-16bc,181.35378663,-21.39921003,0.031939,0.04766771011054516,8.739444138056081,-1.2717656297335105,-10.033557354463538,7.095412902518674,0.5834308416336856,10.657848925628393,0.2511042244107042,-10.416972577107172,8.109762521638434,0.5785443034657883
ASASSN-16bq,162.0,150.0,1.0,0.02493,1e-05,0.02582,1e-05,0.02534,0.00086,141.16,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.62,0.03,1.59,-999.0,57437.9453,0.1951,-1.6681,0.1158,-0.0429,0.0239,16.062,0.0308,15.9962,0.0067482,0.00019159,0.0,-0.0,-0.0,30.0,0.8656,-9.0,-9.0,-9.0,-9.0,-9.0,35.3194,0.109,0.0,-0.0501,1.0,0.0011,SN Ia,,ASASSN-16bq,212.85929429,1.28651105,0.02493512,0.03300059497356415,10.012008585611248,-0.007614954176410936,-10.041818627930834,6.354490194820187,0.6043822852989558,10.946132607233217,-1.4476462806643624,-12.428167310886382,8.670804470356071,0.5740479385973178
ASASSN-16br,4.0,150.0,1.0,0.02852,0.00015,0.029,0.00015,0.02956,0.00087,-162.18,250.0,0.14,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.92,0.02,0.92,-999.0,57439.7227,0.1484,0.9122,0.1189,-0.0354,0.0205,16.0067,0.0359,16.2726,0.0071009,0.00023453,0.0001,-0.0,-0.0,21.0,0.7106,-9.0,-9.0,-9.0,-9.0,-9.0,35.5958,0.1093,0.0,-0.0276,1.0,0.0031,SN Ia,,ASASSN-16br,236.37714649,-13.15160865,0.02852,0.13791997462511063,9.137288640973434,-0.49607384511405656,-9.654967443884525,5.764007154649985,0.6175211891194041,10.052529590340027,0.5199113511107291,-9.53714538467916,5.673648340532438,0.6161056453999748
