SNID,RA,DEC,zHEL,TYPE
1321338,35.940319,-6.521554,0.31153,None
1321365,36.341328,-6.006536,0.31375,None
1321450,8.225006,-42.229878,0.25928,None
1321492,8.179398,-42.666996,0.55583,None
1321522,8.29974,-43.880974,0.178,None
1321973,34.41375,-4.215769,0.37157,None
1322229,35.926357,-4.018886,0.52736,None
1322819,54.478329,-28.444315,0.33807,None
1322912,7.527631,-43.465271,0.65953,None
1322954,53.659271,-28.155306,0.54385,None
