Unnamed: 0,ztfname,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted,mu_obs,mu_theory,residual,residual_centered
162,ZTF18aarwxum,0.08458952,1.076e-05,z_gal,58693.57147476287,0.000523351,0.8152153866051584,0.00171265,0.082433568,1.5304269619782827e-05,0.067511349,0.026776547,3.489043919400553e-08,-0.001495892,-0.000113516,5.421792942968904e-08,-3.52e-07,-0.000270571,0.036405548,3.1,0,0.0151465,267.371475,58.569408,snia-cosmo,norm,1.0,1.0,2019lme,100.0,8.203017354153403,37.92910042081975,-29.726083066666348,-0.1259959422540149
163,ZTF18aarxzmv,0.06980969,0.00295677,z_snid,58262.64957,0.000936399,0.6588271600543145,-0.080058772,0.2257638253759069,4.0673391386659486e-05,0.3045574479172467,0.038145553,-7.29e-07,-0.008150375,0.000492206,-2.39e-06,-1.38e-06,8.382677280457109e-05,0.012941704,3.1,0,1.0,190.399761,35.57694,snia-cosmo,norm,1.0,1.0,2018cbe,98.63013698630137,7.571347646918226,37.48986494368198,-29.918517296763753,-0.31843017235141957
164,ZTF18aarymnz,0.0232897,1.001e-05,z_gal,58231.895838311575,0.006723656,0.333029273,-0.021198325,0.1876644825533731,0.000259308,0.3012694198860907,0.037380919,-9.38e-06,0.008112306,0.002098962,-1.83e-05,-8.07e-06,0.000128367,0.055342724,3.1,0,0.9963471683066856,109.482989,40.985537,snia-cosmo,norm,1.0,1.0,2018azu,100.0,5.430986285792411,35.032960830796455,-29.601974545004044,-0.0018874205917107645
165,ZTF18aasdted,0.01813979,1.021e-05,z_gal,58265.829243124535,0.008266595,0.7140550143961916,0.1515136699885232,0.068197622,0.000255197,0.045375322,0.027434347,5.68406805682248e-07,-0.001508101,-8.25e-05,1.7655726487284225e-06,-6.12e-06,-0.000321295,0.025704601,3.1,0,0.8013185013612302,261.413198,59.446786,snia-cosmo,norm,1.0,1.0,2018big,99.54128440366972,5.206683347406837,34.48189651531105,-29.275213167904212,0.3248739565081209
166,ZTF18aasesgl,0.08571709,2.314e-05,z_gal,58258.19425096481,0.000275625,-1.226880727,0.1429934066749181,0.09665866,9.254503015115744e-06,0.1026141567774453,0.031042794,-6.86e-08,0.001702971,0.000239994,-2.42e-07,-2.47e-07,0.000471826,0.011478178,3.1,0,2.4776955002572443e-48,208.612637,39.722758,snia,,1.0,0.0,2018lpw,97.41935483870968,8.899203482970217,37.95953158574523,-29.060328102775017,0.539759021637316
167,ZTF18aashtth,0.09350827,1.169e-05,z_gal,58259.51361502014,0.000367909,0.3118220801317242,0.04104184,0.1525471227942034,1.2153431102567724e-05,0.1534468732453927,0.031450726,3.21877036829273e-07,-0.010988158,-0.000667474,-5.34e-07,-3.19e-07,0.000537459,0.048177479,3.1,0,0.8544433063145542,266.672511,27.589696,snia,,1.0,1.0,2018cjw,99.01960784313724,8.58564897019842,38.15995813756266,-29.57430916736424,0.02577795704809205
168,ZTF18aaslhxt,0.05510336,1.114e-05,z_gal,58263.41770497856,0.001543106,0.3169313209715985,-0.08676827,0.035754895,4.502060343683967e-05,0.035377136,0.026033266,2.105221215101055e-07,-0.000386056,-0.000134385,2.1501437860089853e-07,-1.02e-06,-0.000214865,0.048174609,3.1,0,0.058743995,276.107921,44.130445,snia-cosmo,norm,1.0,1.0,2018btk,99.80988593155894,7.029010600211692,36.95358361539853,-29.924573015186837,-0.32448589077450407
169,ZTF18aasprui,0.0380507,1.012e-05,z_gal,58347.54384172348,0.001945934,-2.013348078,-0.005149034,0.09370311,5.965149971836128e-05,0.048068607,0.027734715,-2.95e-07,-0.001387564,-0.000180991,2.0356979379184865e-07,-1.43e-06,-0.000132674,0.014113379,3.1,0,0.9741121925819882,243.640791,36.943455,snia-cosmo,norm/04gs,1.0,1.0,2018euz,100.0,6.777179734323698,36.12270082623242,-29.34552109190872,0.25456603250361454
170,ZTF18aasrssa,0.02973522,2.31e-05,z_gal,58256.99131318969,0.000318833,-0.949585945,0.4752481966703566,0.2451994518414721,1.7902071121253288e-05,0.4020128748762767,0.048775312,2.030572395158796e-09,0.048050843,-0.001157268,-2.58e-06,-7.5e-07,0.00253827,0.026694747,3.1,0,0.2867950068384207,163.166338,19.945831,snia,,1.0,1.0,2018bss,100.0,8.741091836005111,35.57392910957735,-26.83283727357224,2.767249850840095
171,ZTF18aasrsst,0.07902111,2.068e-05,z_gal,58239.36656530129,0.000534783,-1.603491913,-0.122133839,0.449455795,2.544930212909944e-05,0.5105723425356485,0.055105086,8.629929651459487e-07,-0.109466543,-0.006457632,-5.91e-06,-8.19e-07,0.002883494,0.014834329,3.1,0,0.025846502,163.159698,22.22873,snia-cosmo,norm,1.0,1.0,2018bdh,100.0,8.179556017004652,37.77291252468245,-29.593356507677797,0.006730616734536454
172,ZTF18aataafd,0.07705664,1.085e-05,z_gal,58260.11126009939,0.0006408,-1.14587825,-0.132826313,0.1741296017535205,2.0848963250374173e-05,0.1456148968775145,0.029932448,5.225756471623713e-07,-0.016254763,-0.000791438,-7.91e-07,-5.3e-07,0.000740962,0.010826355,3.1,0,0.5861755773284035,214.837248,36.172048,snia-cosmo,norm,1.0,1.0,2018cbf,100.0,7.983193742309547,37.71529597068424,-29.732102228374693,-0.1320151039623596
173,ZTF18aatrkga,0.02763214,1.012e-05,z_gal,59089.332811052125,0.002571115,0.1858108163162982,0.2440970040729647,0.1150378726961207,8.467515643478156e-05,0.078232463,0.030386865,2.794419837506661e-07,-0.003820519,-0.000192502,-3.62e-07,-2.23e-06,-0.000163256,0.035594603,3.1,0,0.8873454683949449,273.004455,51.724581,snia-cosmo,norm,1.0,1.0,2020rgz,100.0,6.474696244849028,35.41125293428783,-28.936556689438802,0.6635304349735307
